date,S,I,R
1981-05-05,47992804,3,52007193
1981-05-12,47992803,2,52007196
1981-05-19,47992802,1,52007197
1981-05-26,47992801,1,52007198
1981-06-02,47992801,1,52007199
1981-06-09,47992800,0,52007199
1981-06-16,47992800,0,52007200
1981-06-23,47992800,0,52007200
1981-06-30,47992800,0,52007200
1981-07-07,47992800,0,52007200
1981-07-14,47992800,0,52007200
1981-07-21,47992800,0,52007200
1981-07-28,47992800,0,52007200
1981-08-04,47992800,0,52007200
1981-08-11,47992800,0,52007200
1981-08-18,47992800,0,52007200
1981-08-25,47992800,0,52007200
1981-09-01,47992800,0,52007200
1981-09-08,47992800,0,52007200
1981-09-15,47992800,0,52007200
1981-09-22,47992800,0,52007200
1981-09-29,47992800,0,52007200
1981-10-06,47992800,0,52007200
1981-10-13,47992800,0,52007200
1981-10-20,47992800,0,52007200
1981-10-27,47992800,0,52007200
1981-11-03,47992800,0,52007200
1981-11-10,47992800,0,52007200
1981-11-17,47992800,0,52007200
1981-11-24,47992800,0,52007200
1981-12-01,47992800,0,52007200
1981-12-08,47992800,0,52007200
1981-12-15,47992800,0,52007200
1981-12-22,47992800,0,52007200
1981-12-29,47992800,0,52007200
1982-01-05,47992800,0,52007200
1982-01-12,47992800,0,52007200
1982-01-19,47992800,0,52007200
1982-01-26,47992800,0,52007200
1982-02-02,47992800,0,52007200
1982-02-09,47992800,0,52007200
1982-02-16,47992800,0,52007200
1982-02-23,47992800,0,52007200
1982-03-02,47992800,0,52007200
1982-03-09,47992800,0,52007200
1982-03-16,47992800,0,52007200
1982-03-23,47992800,0,52007200
1982-03-30,47992800,0,52007200
1982-04-06,47992800,0,52007200
1982-04-13,47992800,0,52007200
1982-04-20,47992800,0,52007200
1982-04-27,47992800,0,52007200
1982-05-04,47992800,0,52007200
1982-05-11,47992800,0,52007200
1982-05-18,47992800,0,52007200
1982-05-25,47992800,0,52007200
1982-06-01,47992800,0,52007200
1982-06-08,47992800,0,52007200
1982-06-15,47992800,0,52007200
1982-06-22,47992800,0,52007200
1982-06-29,47992800,0,52007200
1982-07-06,47992800,0,52007200
1982-07-13,47992800,0,52007200
1982-07-20,47992800,0,52007200
1982-07-27,47992800,0,52007200
1982-08-03,47992800,0,52007200
1982-08-10,47992800,0,52007200
1982-08-17,47992800,0,52007200
1982-08-24,47992800,0,52007200
1982-08-31,47992800,0,52007200
1982-09-07,47992800,0,52007200
1982-09-14,47992800,0,52007200
1982-09-21,47992800,0,52007200
1982-09-28,47992800,0,52007200
1982-10-05,47992800,0,52007200
1982-10-12,47992800,0,52007200
1982-10-19,47992800,0,52007200
1982-10-26,47992800,0,52007200
1982-11-02,47992800,0,52007200
1982-11-09,47992800,0,52007200
1982-11-16,47992800,0,52007200
1982-11-23,47992800,0,52007200
1982-11-30,47992800,0,52007200
1982-12-07,47992800,0,52007200
1982-12-14,47992800,0,52007200
1982-12-21,47992800,0,52007200
1982-12-28,47992800,0,52007200
1983-01-04,47992800,0,52007200
1983-01-11,47992800,0,52007200
1983-01-18,47992800,0,52007200
1983-01-25,47992800,0,52007200
1983-02-01,47992800,0,52007200
1983-02-08,47992800,0,52007200
1983-02-15,47992800,0,52007200
1983-02-22,47992800,0,52007200
1983-03-01,47992800,0,52007200
1983-03-08,47992800,0,52007200
1983-03-15,47992800,0,52007200
1983-03-22,47992800,0,52007200
1983-03-29,47992800,0,52007200
1983-04-05,47992800,0,52007200
1983-04-12,47992800,0,52007200
1983-04-19,47992800,0,52007200
1983-04-26,47992800,0,52007200
1983-05-03,47992800,0,52007200
1983-05-10,47992800,0,52007200
1983-05-17,47992800,0,52007200
1983-05-24,47992800,0,52007200
1983-05-31,47992800,0,52007200
1983-06-07,47992800,0,52007200
1983-06-14,47992800,0,52007200
1983-06-21,47992800,0,52007200
1983-06-28,47992800,0,52007200
1983-07-05,47992800,0,52007200
1983-07-12,47992800,0,52007200
1983-07-19,47992800,0,52007200
1983-07-26,47992800,0,52007200
1983-08-02,47992800,0,52007200
1983-08-09,47992800,0,52007200
1983-08-16,47992800,0,52007200
1983-08-23,47992800,0,52007200
1983-08-30,47992800,0,52007200
1983-09-06,47992800,0,52007200
1983-09-13,47992800,0,52007200
1983-09-20,47992800,0,52007200
1983-09-27,47992800,0,52007200
1983-10-04,47992800,0,52007200
1983-10-11,47992800,0,52007200
1983-10-18,47992800,0,52007200
1983-10-25,47992800,0,52007200
1983-11-01,47992800,0,52007200
1983-11-08,47992800,0,52007200
1983-11-15,47992800,0,52007200
1983-11-22,47992800,0,52007200
1983-11-29,47992800,0,52007200
1983-12-06,47992800,0,52007200
1983-12-13,47992800,0,52007200
1983-12-20,47992800,0,52007200
1983-12-27,47992800,0,52007200
1984-01-03,47992800,0,52007200
1984-01-10,47992800,0,52007200
1984-01-17,47992800,0,52007200
1984-01-24,47992800,0,52007200
1984-01-31,47992800,0,52007200
1984-02-07,47992800,0,52007200
1984-02-14,47992800,0,52007200
1984-02-21,47992800,0,52007200
1984-02-28,47992800,0,52007200
1984-03-06,47992800,0,52007200
1984-03-13,47992800,0,52007200
1984-03-20,47992800,0,52007200
1984-03-27,47992800,0,52007200
1984-04-03,47992800,0,52007200
1984-04-10,47992800,0,52007200
1984-04-17,47992800,0,52007200
1984-04-24,47992800,0,52007200
1984-05-01,47992800,0,52007200
1984-05-08,47992800,0,52007200
1984-05-15,47992800,0,52007200
1984-05-22,47992800,0,52007200
1984-05-29,47992800,0,52007200
1984-06-05,47992800,0,52007200
1984-06-12,47992800,0,52007200
1984-06-19,47992800,0,52007200
1984-06-26,47992800,0,52007200
1984-07-03,47992800,0,52007200
1984-07-10,47992800,0,52007200
1984-07-17,47992800,0,52007200
1984-07-24,47992800,0,52007200
1984-07-31,47992800,0,52007200
1984-08-07,47992800,0,52007200
1984-08-14,47992800,0,52007200
1984-08-21,47992800,0,52007200
1984-08-28,47992800,0,52007200
1984-09-04,47992800,0,52007200
1984-09-11,47992800,0,52007200
1984-09-18,47992800,0,52007200
1984-09-25,47992800,0,52007200
1984-10-02,47992800,0,52007200
1984-10-09,47992800,0,52007200
1984-10-16,47992800,0,52007200
1984-10-23,47992800,0,52007200
1984-10-30,47992800,0,52007200
1984-11-06,47992800,0,52007200
1984-11-13,47992800,0,52007200
1984-11-20,47992800,0,52007200
1984-11-27,47992800,0,52007200
1984-12-04,47992800,0,52007200
1984-12-11,47992800,0,52007200
1984-12-18,47992800,0,52007200
1984-12-25,47992800,0,52007200
1985-01-01,47992800,0,52007200
1985-01-08,47992800,0,52007200
1985-01-15,47992800,0,52007200
1985-01-22,47992800,0,52007200
1985-01-29,47992800,0,52007200
1985-02-05,47992800,0,52007200
1985-02-12,47992800,0,52007200
1985-02-19,47992800,0,52007200
1985-02-26,47992800,0,52007200
1985-03-05,47992800,0,52007200
1985-03-12,47992800,0,52007200
1985-03-19,47992800,0,52007200
1985-03-26,47992800,0,52007200
1985-04-02,47992800,0,52007200
1985-04-09,47992800,0,52007200
1985-04-16,47992800,0,52007200
1985-04-23,47992800,0,52007200
1985-04-30,47992800,0,52007200
1985-05-07,47992800,0,52007200
1985-05-14,47992800,0,52007200
1985-05-21,47992800,0,52007200
1985-05-28,47992800,0,52007200
1985-06-04,47992800,0,52007200
1985-06-11,47992800,0,52007200
1985-06-18,47992800,0,52007200
1985-06-25,47992800,0,52007200
1985-07-02,47992800,0,52007200
1985-07-09,47992800,0,52007200
1985-07-16,47992800,0,52007200
1985-07-23,47992800,0,52007200
1985-07-30,47992800,0,52007200
1985-08-06,47992800,0,52007200
1985-08-13,47992800,0,52007200
1985-08-20,47992800,0,52007200
1985-08-27,47992800,0,52007200
1985-09-03,47992800,0,52007200
1985-09-10,47992800,0,52007200
1985-09-17,47992800,0,52007200
1985-09-24,47992800,0,52007200
1985-10-01,47992800,0,52007200
1985-10-08,47992800,0,52007200
1985-10-15,47992800,0,52007200
1985-10-22,47992800,0,52007200
1985-10-29,47992800,0,52007200
1985-11-05,47992800,0,52007200
1985-11-12,47992800,0,52007200
1985-11-19,47992800,0,52007200
1985-11-26,47992800,0,52007200
1985-12-03,47992800,0,52007200
1985-12-10,47992800,0,52007200
1985-12-17,47992800,0,52007200
1985-12-24,47992800,0,52007200
1985-12-31,47992800,0,52007200
1986-01-07,47992800,0,52007200
1986-01-14,47992800,0,52007200
1986-01-21,47992800,0,52007200
1986-01-28,47992800,0,52007200
1986-02-04,47992800,0,52007200
1986-02-11,47992800,0,52007200
1986-02-18,47992800,0,52007200
1986-02-25,47992800,0,52007200
1986-03-04,47992800,0,52007200
1986-03-11,47992800,0,52007200
1986-03-18,47992800,0,52007200
1986-03-25,47992800,0,52007200
1986-04-01,47992800,0,52007200
1986-04-08,47992800,0,52007200
1986-04-15,47992800,0,52007200
1986-04-22,47992800,0,52007200
1986-04-29,47992800,0,52007200
1986-05-06,47992800,0,52007200
1986-05-13,47992800,0,52007200
1986-05-20,47992800,0,52007200
1986-05-27,47992800,0,52007200
1986-06-03,47992800,0,52007200
1986-06-10,47992800,0,52007200
1986-06-17,47992800,0,52007200
1986-06-24,47992800,0,52007200
1986-07-01,47992800,0,52007200
1986-07-08,47992800,0,52007200
1986-07-15,47992800,0,52007200
1986-07-22,47992800,0,52007200
1986-07-29,47992800,0,52007200
1986-08-05,47992800,0,52007200
1986-08-12,47992800,0,52007200
1986-08-19,47992800,0,52007200
1986-08-26,47992800,0,52007200
1986-09-02,47992800,0,52007200
1986-09-09,47992800,0,52007200
1986-09-16,47992800,0,52007200
1986-09-23,47992800,0,52007200
1986-09-30,47992800,0,52007200
1986-10-07,47992800,0,52007200
1986-10-14,47992800,0,52007200
1986-10-21,47992800,0,52007200
1986-10-28,47992800,0,52007200
1986-11-04,47992800,0,52007200
1986-11-11,47992800,0,52007200
1986-11-18,47992800,0,52007200
1986-11-25,47992800,0,52007200
1986-12-02,47992800,0,52007200
1986-12-09,47992800,0,52007200
1986-12-16,47992800,0,52007200
1986-12-23,47992800,0,52007200
1986-12-30,47992800,0,52007200
1987-01-06,47992800,0,52007200
1987-01-13,47992800,0,52007200
1987-01-20,47992800,0,52007200
1987-01-27,47992800,0,52007200
1987-02-03,47992800,0,52007200
1987-02-10,47992800,0,52007200
1987-02-17,47992800,0,52007200
1987-02-24,47992800,0,52007200
1987-03-03,47992800,0,52007200
1987-03-10,47992800,0,52007200
1987-03-17,47992800,0,52007200
1987-03-24,47992800,0,52007200
1987-03-31,47992800,0,52007200
1987-04-07,47992800,0,52007200
1987-04-14,47992800,0,52007200
1987-04-21,47992800,0,52007200
1987-04-28,47992800,0,52007200
1987-05-05,47992800,0,52007200
1987-05-12,47992800,0,52007200
1987-05-19,47992800,0,52007200
1987-05-26,47992800,0,52007200
1987-06-02,47992800,0,52007200
1987-06-09,47992800,0,52007200
1987-06-16,47992800,0,52007200
1987-06-23,47992800,0,52007200
1987-06-30,47992800,0,52007200
1987-07-07,47992800,0,52007200
1987-07-14,47992800,0,52007200
1987-07-21,47992800,0,52007200
1987-07-28,47992800,0,52007200
1987-08-04,47992800,0,52007200
1987-08-11,47992800,0,52007200
1987-08-18,47992800,0,52007200
1987-08-25,47992800,0,52007200
1987-09-01,47992800,0,52007200
1987-09-08,47992800,0,52007200
1987-09-15,47992800,0,52007200
1987-09-22,47992800,0,52007200
1987-09-29,47992800,0,52007200
1987-10-06,47992800,0,52007200
1987-10-13,47992800,0,52007200
1987-10-20,47992800,0,52007200
1987-10-27,47992800,0,52007200
1987-11-03,47992800,0,52007200
1987-11-10,47992800,0,52007200
1987-11-17,47992800,0,52007200
1987-11-24,47992800,0,52007200
1987-12-01,47992800,0,52007200
1987-12-08,47992800,0,52007200
1987-12-15,47992800,0,52007200
1987-12-22,47992800,0,52007200
1987-12-29,47992800,0,52007200
1988-01-05,47992800,0,52007200
1988-01-12,47992800,0,52007200
1988-01-19,47992800,0,52007200
1988-01-26,47992800,0,52007200
1988-02-02,47992800,0,52007200
1988-02-09,47992800,0,52007200
1988-02-16,47992800,0,52007200
1988-02-23,47992800,0,52007200
1988-03-01,47992800,0,52007200
1988-03-08,47992800,0,52007200
1988-03-15,47992800,0,52007200
1988-03-22,47992800,0,52007200
1988-03-29,47992800,0,52007200
1988-04-05,47992800,0,52007200
1988-04-12,47992800,0,52007200
1988-04-19,47992800,0,52007200
1988-04-26,47992800,0,52007200
1988-05-03,47992800,0,52007200
1988-05-10,47992800,0,52007200
1988-05-17,47992800,0,52007200
1988-05-24,47992800,0,52007200
1988-05-31,47992800,0,52007200
1988-06-07,47992800,0,52007200
1988-06-14,47992800,0,52007200
1988-06-21,47992800,0,52007200
1988-06-28,47992800,0,52007200
1988-07-05,47992800,0,52007200
1988-07-12,47992800,0,52007200
1988-07-19,47992800,0,52007200
1988-07-26,47992800,0,52007200
1988-08-02,47992800,0,52007200
1988-08-09,47992800,0,52007200
1988-08-16,47992800,0,52007200
1988-08-23,47992800,0,52007200
1988-08-30,47992800,0,52007200
1988-09-06,47992800,0,52007200
1988-09-13,47992800,0,52007200
1988-09-20,47992800,0,52007200
1988-09-27,47992800,0,52007200
1988-10-04,47992800,0,52007200
1988-10-11,47992800,0,52007200
1988-10-18,47992800,0,52007200
1988-10-25,47992800,0,52007200
1988-11-01,47992800,0,52007200
1988-11-08,47992800,0,52007200
1988-11-15,47992800,0,52007200
1988-11-22,47992800,0,52007200
1988-11-29,47992800,0,52007200
1988-12-06,47992800,0,52007200
1988-12-13,47992800,0,52007200
1988-12-20,47992800,0,52007200
1988-12-27,47992800,0,52007200
1989-01-03,47992800,0,52007200
1989-01-10,47992800,0,52007200
1989-01-17,47992800,0,52007200
1989-01-24,47992800,0,52007200
1989-01-31,47992800,0,52007200
1989-02-07,47992800,0,52007200
1989-02-14,47992800,0,52007200
1989-02-21,47992800,0,52007200
1989-02-28,47992800,0,52007200
1989-03-07,47992800,0,52007200
1989-03-14,47992800,0,52007200
1989-03-21,47992800,0,52007200
1989-03-28,47992800,0,52007200
1989-04-04,47992800,0,52007200
1989-04-11,47992800,0,52007200
1989-04-18,47992800,0,52007200
1989-04-25,47992800,0,52007200
1989-05-02,47992800,0,52007200
1989-05-09,47992800,0,52007200
1989-05-16,47992800,0,52007200
1989-05-23,47992800,0,52007200
1989-05-30,47992800,0,52007200
1989-06-06,47992800,0,52007200
1989-06-13,47992800,0,52007200
1989-06-20,47992800,0,52007200
1989-06-27,47992800,0,52007200
1989-07-04,47992800,0,52007200
1989-07-11,47992800,0,52007200
1989-07-18,47992800,0,52007200
1989-07-25,47992800,0,52007200
1989-08-01,47992800,0,52007200
1989-08-08,47992800,0,52007200
1989-08-15,47992800,0,52007200
1989-08-22,47992800,0,52007200
1989-08-29,47992800,0,52007200
1989-09-05,47992800,0,52007200
1989-09-12,47992800,0,52007200
1989-09-19,47992800,0,52007200
1989-09-26,47992800,0,52007200
1989-10-03,47992800,0,52007200
1989-10-10,47992800,0,52007200
1989-10-17,47992800,0,52007200
1989-10-24,47992800,0,52007200
1989-10-31,47992800,0,52007200
1989-11-07,47992800,0,52007200
1989-11-14,47992800,0,52007200
1989-11-21,47992800,0,52007200
1989-11-28,47992800,0,52007200
1989-12-05,47992800,0,52007200
1989-12-12,47992800,0,52007200
1989-12-19,47992800,0,52007200
1989-12-26,47992800,0,52007200
1990-01-02,47992800,0,52007200
1990-01-09,47992800,0,52007200
1990-01-16,47992800,0,52007200
1990-01-23,47992800,0,52007200
1990-01-30,47992800,0,52007200
1990-02-06,47992800,0,52007200
1990-02-13,47992800,0,52007200
1990-02-20,47992800,0,52007200
1990-02-27,47992800,0,52007200
1990-03-06,47992800,0,52007200
1990-03-13,47992800,0,52007200
1990-03-20,47992800,0,52007200
1990-03-27,47992800,0,52007200
1990-04-03,47992800,0,52007200
1990-04-10,47992800,0,52007200
1990-04-17,47992800,0,52007200
1990-04-24,47992800,0,52007200
1990-05-01,47992800,0,52007200
1990-05-08,47992800,0,52007200
1990-05-15,47992800,0,52007200
1990-05-22,47992800,0,52007200
1990-05-29,47992800,0,52007200
1990-06-05,47992800,0,52007200
1990-06-12,47992800,0,52007200
1990-06-19,47992800,0,52007200
1990-06-26,47992800,0,52007200
1990-07-03,47992800,0,52007200
1990-07-10,47992800,0,52007200
1990-07-17,47992800,0,52007200
1990-07-24,47992800,0,52007200
1990-07-31,47992800,0,52007200
1990-08-07,47992800,0,52007200
1990-08-14,47992800,0,52007200
1990-08-21,47992800,0,52007200
1990-08-28,47992800,0,52007200
1990-09-04,47992800,0,52007200
1990-09-11,47992800,0,52007200
1990-09-18,47992800,0,52007200
1990-09-25,47992800,0,52007200
1990-10-02,47992800,0,52007200
1990-10-09,47992800,0,52007200
1990-10-16,47992800,0,52007200
1990-10-23,47992800,0,52007200
1990-10-30,47992800,0,52007200
1990-11-06,47992800,0,52007200
1990-11-13,47992800,0,52007200
1990-11-20,47992800,0,52007200
1990-11-27,47992800,0,52007200
1990-12-04,47992800,0,52007200
1990-12-11,47992800,0,52007200
1990-12-18,47992800,0,52007200
1990-12-25,47992800,0,52007200
1991-01-01,47992800,0,52007200
1991-01-08,47992800,0,52007200
1991-01-15,47992800,0,52007200
1991-01-22,47992800,0,52007200
1991-01-29,47992800,0,52007200
1991-02-05,47992800,0,52007200
1991-02-12,47992800,0,52007200
1991-02-19,47992800,0,52007200
1991-02-26,47992800,0,52007200
1991-03-05,47992800,0,52007200
1991-03-12,47992800,0,52007200
1991-03-19,47992800,0,52007200
1991-03-26,47992800,0,52007200
1991-04-02,47992800,0,52007200
1991-04-09,47992800,0,52007200
1991-04-16,47992800,0,52007200
1991-04-23,47992800,0,52007200
1991-04-30,47992800,0,52007200
1991-05-07,47992800,0,52007200
1991-05-14,47992800,0,52007200
1991-05-21,47992800,0,52007200
1991-05-28,47992800,0,52007200
1991-06-04,47992800,0,52007200
1991-06-11,47992800,0,52007200
1991-06-18,47992800,0,52007200
1991-06-25,47992800,0,52007200
1991-07-02,47992800,0,52007200
1991-07-09,47992800,0,52007200
1991-07-16,47992800,0,52007200
1991-07-23,47992800,0,52007200
1991-07-30,47992800,0,52007200
1991-08-06,47992800,0,52007200
1991-08-13,47992800,0,52007200
1991-08-20,47992800,0,52007200
1991-08-27,47992800,0,52007200
1991-09-03,47992800,0,52007200
1991-09-10,47992800,0,52007200
1991-09-17,47992800,0,52007200
1991-09-24,47992800,0,52007200
1991-10-01,47992800,0,52007200
1991-10-08,47992800,0,52007200
1991-10-15,47992800,0,52007200
1991-10-22,47992800,0,52007200
1991-10-29,47992800,0,52007200
1991-11-05,47992800,0,52007200
1991-11-12,47992800,0,52007200
1991-11-19,47992800,0,52007200
1991-11-26,47992800,0,52007200
1991-12-03,47992800,0,52007200
1991-12-10,47992800,0,52007200
1991-12-17,47992800,0,52007200
1991-12-24,47992800,0,52007200
1991-12-31,47992800,0,52007200
1992-01-07,47992800,0,52007200
1992-01-14,47992800,0,52007200
1992-01-21,47992800,0,52007200
1992-01-28,47992800,0,52007200
1992-02-04,47992800,0,52007200
1992-02-11,47992800,0,52007200
1992-02-18,47992800,0,52007200
1992-02-25,47992800,0,52007200
1992-03-03,47992800,0,52007200
1992-03-10,47992800,0,52007200
1992-03-17,47992800,0,52007200
1992-03-24,47992800,0,52007200
1992-03-31,47992800,0,52007200
1992-04-07,47992800,0,52007200
1992-04-14,47992800,0,52007200
1992-04-21,47992800,0,52007200
1992-04-28,47992800,0,52007200
1992-05-05,47992800,0,52007200
1992-05-12,47992800,0,52007200
1992-05-19,47992800,0,52007200
1992-05-26,47992800,0,52007200
1992-06-02,47992800,0,52007200
1992-06-09,47992800,0,52007200
1992-06-16,47992800,0,52007200
1992-06-23,47992800,0,52007200
1992-06-30,47992800,0,52007200
1992-07-07,47992800,0,52007200
1992-07-14,47992800,0,52007200
1992-07-21,47992800,0,52007200
1992-07-28,47992800,0,52007200
1992-08-04,47992800,0,52007200
1992-08-11,47992800,0,52007200
1992-08-18,47992800,0,52007200
1992-08-25,47992800,0,52007200
1992-09-01,47992800,0,52007200
1992-09-08,47992800,0,52007200
1992-09-15,47992800,0,52007200
1992-09-22,47992800,0,52007200
1992-09-29,47992800,0,52007200
1992-10-06,47992800,0,52007200
1992-10-13,47992800,0,52007200
1992-10-20,47992800,0,52007200
1992-10-27,47992800,0,52007200
1992-11-03,47992800,0,52007200
1992-11-10,47992800,0,52007200
1992-11-17,47992800,0,52007200
1992-11-24,47992800,0,52007200
1992-12-01,47992800,0,52007200
1992-12-08,47992800,0,52007200
1992-12-15,47992800,0,52007200
1992-12-22,47992800,0,52007200
1992-12-29,47992800,0,52007200
1993-01-05,47992800,0,52007200
1993-01-12,47992800,0,52007200
1993-01-19,47992800,0,52007200
1993-01-26,47992800,0,52007200
1993-02-02,47992800,0,52007200
1993-02-09,47992800,0,52007200
1993-02-16,47992800,0,52007200
1993-02-23,47992800,0,52007200
1993-03-02,47992800,0,52007200
1993-03-09,47992800,0,52007200
1993-03-16,47992800,0,52007200
1993-03-23,47992800,0,52007200
1993-03-30,47992800,0,52007200
1993-04-06,47992800,0,52007200
1993-04-13,47992800,0,52007200
1993-04-20,47992800,0,52007200
1993-04-27,47992800,0,52007200
1993-05-04,47992800,0,52007200
1993-05-11,47992800,0,52007200
1993-05-18,47992800,0,52007200
1993-05-25,47992800,0,52007200
1993-06-01,47992800,0,52007200
1993-06-08,47992800,0,52007200
1993-06-15,47992800,0,52007200
1993-06-22,47992800,0,52007200
1993-06-29,47992800,0,52007200
1993-07-06,47992800,0,52007200
1993-07-13,47992800,0,52007200
1993-07-20,47992800,0,52007200
1993-07-27,47992800,0,52007200
1993-08-03,47992800,0,52007200
1993-08-10,47992800,0,52007200
1993-08-17,47992800,0,52007200
1993-08-24,47992800,0,52007200
1993-08-31,47992800,0,52007200
1993-09-07,47992800,0,52007200
1993-09-14,47992800,0,52007200
1993-09-21,47992800,0,52007200
1993-09-28,47992800,0,52007200
1993-10-05,47992800,0,52007200
1993-10-12,47992800,0,52007200
1993-10-19,47992800,0,52007200
1993-10-26,47992800,0,52007200
1993-11-02,47992800,0,52007200
1993-11-09,47992800,0,52007200
1993-11-16,47992800,0,52007200
1993-11-23,47992800,0,52007200
1993-11-30,47992800,0,52007200
1993-12-07,47992800,0,52007200
1993-12-14,47992800,0,52007200
1993-12-21,47992800,0,52007200
1993-12-28,47992800,0,52007200
1994-01-04,47992800,0,52007200
1994-01-11,47992800,0,52007200
1994-01-18,47992800,0,52007200
1994-01-25,47992800,0,52007200
1994-02-01,47992800,0,52007200
1994-02-08,47992800,0,52007200
1994-02-15,47992800,0,52007200
1994-02-22,47992800,0,52007200
1994-03-01,47992800,0,52007200
1994-03-08,47992800,0,52007200
1994-03-15,47992800,0,52007200
1994-03-22,47992800,0,52007200
1994-03-29,47992800,0,52007200
1994-04-05,47992800,0,52007200
1994-04-12,47992800,0,52007200
1994-04-19,47992800,0,52007200
1994-04-26,47992800,0,52007200
1994-05-03,47992800,0,52007200
1994-05-10,47992800,0,52007200
1994-05-17,47992800,0,52007200
1994-05-24,47992800,0,52007200
1994-05-31,47992800,0,52007200
1994-06-07,47992800,0,52007200
1994-06-14,47992800,0,52007200
1994-06-21,47992800,0,52007200
1994-06-28,47992800,0,52007200
1994-07-05,47992800,0,52007200
1994-07-12,47992800,0,52007200
1994-07-19,47992800,0,52007200
1994-07-26,47992800,0,52007200
1994-08-02,47992800,0,52007200
1994-08-09,47992800,0,52007200
1994-08-16,47992800,0,52007200
1994-08-23,47992800,0,52007200
1994-08-30,47992800,0,52007200
1994-09-06,47992800,0,52007200
1994-09-13,47992800,0,52007200
1994-09-20,47992800,0,52007200
1994-09-27,47992800,0,52007200
1994-10-04,47992800,0,52007200
1994-10-11,47992800,0,52007200
1994-10-18,47992800,0,52007200
1994-10-25,47992800,0,52007200
1994-11-01,47992800,0,52007200
1994-11-08,47992800,0,52007200
1994-11-15,47992800,0,52007200
1994-11-22,47992800,0,52007200
1994-11-29,47992800,0,52007200
1994-12-06,47992800,0,52007200
1994-12-13,47992800,0,52007200
1994-12-20,47992800,0,52007200
1994-12-27,47992800,0,52007200
1995-01-03,47992800,0,52007200
1995-01-10,47992800,0,52007200
1995-01-17,47992800,0,52007200
1995-01-24,47992800,0,52007200
1995-01-31,47992800,0,52007200
1995-02-07,47992800,0,52007200
1995-02-14,47992800,0,52007200
1995-02-21,47992800,0,52007200
1995-02-28,47992800,0,52007200
1995-03-07,47992800,0,52007200
1995-03-14,47992800,0,52007200
1995-03-21,47992800,0,52007200
1995-03-28,47992800,0,52007200
1995-04-04,47992800,0,52007200
1995-04-11,47992800,0,52007200
1995-04-18,47992800,0,52007200
1995-04-25,47992800,0,52007200
1995-05-02,47992800,0,52007200
1995-05-09,47992800,0,52007200
1995-05-16,47992800,0,52007200
1995-05-23,47992800,0,52007200
1995-05-30,47992800,0,52007200
1995-06-06,47992800,0,52007200
1995-06-13,47992800,0,52007200
1995-06-20,47992800,0,52007200
1995-06-27,47992800,0,52007200
1995-07-04,47992800,0,52007200
1995-07-11,47992800,0,52007200
1995-07-18,47992800,0,52007200
1995-07-25,47992800,0,52007200
1995-08-01,47992800,0,52007200
1995-08-08,47992800,0,52007200
1995-08-15,47992800,0,52007200
1995-08-22,47992800,0,52007200
1995-08-29,47992800,0,52007200
1995-09-05,47992800,0,52007200
