date,IA,IC,SA,RA,SC,RC
2024-02-12,395911,242105,2203958,900131,465078,792817
2024-02-13,392482,219720,2075695,1031822,410398,869881
2024-02-14,379469,195127,1959813,1160718,365819,939054
2024-02-15,359035,170279,1856989,1283976,329780,999940
2024-02-16,333471,146534,1767023,1399506,300768,1052698
2024-02-17,304895,124715,1689148,1505957,277440,1097845
2024-02-18,275083,105230,1622284,1602633,258668,1136101
2024-02-19,245416,88196,1565221,1689363,243532,1168271
2024-02-20,216888,73541,1516740,1766372,231296,1195164
2024-02-21,190156,61083,1475688,1834156,221374,1217543
2024-02-22,165604,50590,1441011,1893385,213306,1236104
2024-02-23,143407,41815,1411772,1944821,206725,1251460
2024-02-24,123594,34513,1387151,1989255,201343,1264144
2024-02-25,106088,28462,1366439,2027473,196930,1274608
2024-02-26,90751,23461,1349028,2060222,193304,1283235
2024-02-27,77406,19336,1334399,2088195,190318,1290346
2024-02-28,65861,15939,1322114,2112026,187854,1296207
2024-02-29,55920,13143,1311800,2132280,185818,1301039
2024-03-01,47395,10843,1303143,2149463,184133,1305024
2024-03-02,40108,8950,1295878,2164014,182737,1308313
2024-03-03,33897,7393,1289783,2176321,181579,1311028
2024-03-04,28616,6111,1284669,2186715,180617,1313272
2024-03-05,24134,5055,1280380,2195486,179817,1315127
2024-03-06,20337,4185,1276782,2202881,179152,1316663
2024-03-07,17126,3468,1273765,2209110,178598,1317935
2024-03-08,14413,2875,1271234,2214353,178137,1318988
2024-03-09,12123,2385,1269112,2218765,177752,1319863
2024-03-10,10192,1981,1267333,2222475,177431,1320588
2024-03-11,8565,1646,1265841,2225593,177163,1321191
2024-03-12,7196,1368,1264590,2228214,176940,1321692
2024-03-13,6043,1138,1263542,2230415,176753,1322108
2024-03-14,5074,948,1262663,2232263,176597,1322455
2024-03-15,4260,789,1261926,2233815,176467,1322744
2024-03-16,3575,658,1261308,2235117,176358,1322984
2024-03-17,3000,548,1260790,2236210,176267,1323185
2024-03-18,2517,457,1260356,2237127,176191,1323352
2024-03-19,2111,382,1259992,2237897,176127,1323491
2024-03-20,1771,318,1259687,2238542,176074,1323607
2024-03-21,1485,266,1259431,2239083,176030,1323705
2024-03-22,1246,222,1259217,2239537,175992,1323786
2024-03-23,1044,186,1259037,2239918,175961,1323853
2024-03-24,876,155,1258887,2240237,175935,1323910
2024-03-25,734,130,1258761,2240505,175913,1323957
2024-03-26,616,108,1258655,2240729,175895,1323997
2024-03-27,516,91,1258566,2240917,175879,1324030
2024-03-28,433,76,1258492,2241075,175867,1324058
2024-03-29,363,63,1258430,2241207,175856,1324081
2024-03-30,304,53,1258378,2241318,175847,1324100
2024-03-31,255,44,1258334,2241411,175839,1324116
2024-04-01,214,37,1258297,2241489,175833,1324130
2024-04-02,179,31,1258267,2241554,175828,1324141
2024-04-03,150,26,1258241,2241609,175823,1324151
2024-04-04,126,22,1258219,2241655,175820,1324159
2024-04-05,105,18,1258201,2241693,175816,1324165
2024-04-06,88,15,1258186,2241725,175814,1324171
2024-04-07,74,13,1258174,2241752,175812,1324176
2024-04-08,62,11,1258163,2241775,175810,1324180
2024-04-09,52,9,1258154,2241794,175808,1324183
2024-04-10,44,8,1258147,2241810,175807,1324186
2024-04-11,37,6,1258140,2241823,175806,1324188
2024-04-12,31,5,1258135,2241834,175805,1324190
2024-04-13,26,4,1258131,2241844,175804,1324191
2024-04-14,21,4,1258127,2241852,175804,1324193
2024-04-15,18,3,1258124,2241858,175803,1324194
2024-04-16,15,3,1258121,2241864,175803,1324195
2024-04-17,13,2,1258119,2241868,175802,1324196
2024-04-18,11,2,1258117,2241872,175802,1324196
2024-04-19,9,2,1258116,2241875,175802,1324197
2024-04-20,7,1,1258114,2241878,175801,1324197
2024-04-21,6,1,1258113,2241880,175801,1324198
2024-04-22,5,1,1258113,2241882,175801,1324198
2024-04-23,4,1,1258112,2241884,175801,1324198
2024-04-24,4,1,1258111,2241885,175801,1324198
2024-04-25,3,1,1258111,2241886,175801,1324199
2024-04-26,3,0,1258110,2241887,175801,1324199
2024-04-27,2,0,1258110,2241888,175801,1324199
2024-04-28,2,0,1258109,2241889,175801,1324199
2024-04-29,2,0,1258109,2241889,175801,1324199
2024-04-30,1,0,1258109,2241890,175801,1324199
2024-05-01,1,0,1258109,2241890,175800,1324199
2024-05-02,1,0,1258109,2241890,175800,1324199
2024-05-03,1,0,1258109,2241891,175800,1324199
2024-05-04,1,0,1258108,2241891,175800,1324199
2024-05-05,1,0,1258108,2241891,175800,1324200
2024-05-06,0,0,1258108,2241891,175800,1324200
2024-05-07,0,0,1258108,2241891,175800,1324200
2024-05-08,0,0,1258108,2241892,175800,1324200
2024-05-09,0,0,1258108,2241892,175800,1324200
2024-05-10,0,0,1258108,2241892,175800,1324200
2024-05-11,0,0,1258108,2241892,175800,1324200
2024-05-12,0,0,1258108,2241892,175800,1324200
2024-05-13,0,0,1258108,2241892,175800,1324200
2024-05-14,0,0,1258108,2241892,175800,1324200
2024-05-15,0,0,1258108,2241892,175800,1324200
2024-05-16,0,0,1258108,2241892,175800,1324200
2024-05-17,0,0,1258108,2241892,175800,1324200
2024-05-18,0,0,1258108,2241892,175800,1324200
2024-05-19,0,0,1258108,2241892,175800,1324200
2024-05-20,0,0,1258108,2241892,175800,1324200
2024-05-21,0,0,1258108,2241892,175800,1324200
2024-05-22,0,0,1258108,2241892,175800,1324200
2024-05-23,0,0,1258108,2241892,175800,1324200
2024-05-24,0,0,1258108,2241892,175800,1324200
2024-05-25,0,0,1258108,2241892,175800,1324200
2024-05-26,0,0,1258108,2241892,175800,1324200
2024-05-27,0,0,1258108,2241892,175800,1324200
2024-05-28,0,0,1258108,2241892,175800,1324200
2024-05-29,0,0,1258108,2241892,175800,1324200
2024-05-30,0,0,1258108,2241892,175800,1324200
